experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,385.6620421163472,0.9128498196601867,7326.0,1293.0,0.6450116009280742,0.9729311678267595,0.7011231352954861,0.6539823292850405,0.6723223377661733,0.6840351591801304,0.6240323443665136
BOOTSTRAP_CI,385.6620421163472,,,,"0.6450 [0.6203, 0.6706]","0.9729 [0.9637, 0.9814]","0.7011 [0.6660, 0.7333]","0.6540 [0.6187, 0.6852]","0.6723 [0.6358, 0.7018]","0.6840 [0.6438, 0.7274]",
