experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,239.5026619987486,0.8759695768356324,7326.0,1293.0,0.5893271461716937,0.9675174013921114,0.6661748278198618,0.6147102263642334,0.6339058718275492,0.737358006045679,0.6903090095000051
BOOTSTRAP_CI,239.5026619987486,,,,"0.5893 [0.5646, 0.6179]","0.9675 [0.9582, 0.9768]","0.6662 [0.6378, 0.6963]","0.6147 [0.5796, 0.6492]","0.6339 [0.5999, 0.6644]","0.7374 [0.6963, 0.7802]",
