experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,269.7953640072999,0.8988133311271668,7326.0,1293.0,0.6156225831399845,0.9698375870069605,0.6901259681932735,0.6374373234830353,0.6553330643956405,0.7090182530917832,0.6624617187668145
BOOTSTRAP_CI,269.7953640072999,,,,"0.6156 [0.5916, 0.6404]","0.9698 [0.9598, 0.9783]","0.6901 [0.6628, 0.7163]","0.6374 [0.6049, 0.6701]","0.6553 [0.6225, 0.6831]","0.7090 [0.6674, 0.7493]",
