experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,385.6620421163472,0.8981642603874207,7326.0,1293.0,0.6434648105181748,0.9760247486465584,0.70151616704564,0.6576207716154503,0.6745125592392754,0.6726337747211268,0.6159439354825982
BOOTSTRAP_CI,385.6620421163472,,,,"0.6435 [0.6187, 0.6682]","0.9760 [0.9675, 0.9845]","0.7015 [0.6742, 0.7291]","0.6576 [0.6244, 0.6878]","0.6745 [0.6431, 0.7022]","0.6726 [0.6323, 0.7139]",
