experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,212.61123338996555,0.888195812702179,7326.0,1293.0,0.6334106728538283,0.9729311678267595,0.7038147689440744,0.6601197615917928,0.6754320180860395,0.6896651731413466,0.633438224848524
BOOTSTRAP_CI,212.61123338996555,,,,"0.6334 [0.6079, 0.6620]","0.9729 [0.9644, 0.9822]","0.7038 [0.6787, 0.7313]","0.6601 [0.6281, 0.6944]","0.6754 [0.6442, 0.7069]","0.6897 [0.6450, 0.7332]",
