experiment,best_alpha,best_cv_score,train_size,test_size,test_accuracy,test_accuracy_pm1,test_precision,test_recall,test_f1,test_rmse,test_rmse_raw
0,269.7953640072999,0.9012982249259949,7326.0,1293.0,0.5993812838360402,0.9667440061871616,0.6688024170703055,0.6194827523792159,0.6391303318497934,0.7267935917305993,0.6686992554708528
BOOTSTRAP_CI,269.7953640072999,,,,"0.5994 [0.5754, 0.6280]","0.9667 [0.9567, 0.9768]","0.6688 [0.6386, 0.6978]","0.6195 [0.5861, 0.6510]","0.6391 [0.6059, 0.6679]","0.7268 [0.6857, 0.7672]",
